bounces,time_on_site,will_buy_on_return_visit
0,15047,0
0,12136,0
0,11201,0
0,10046,0
0,9974,0
0,9564,0
0,9520,0
0,9275,1
0,9138,0
0,8872,0
0,8580,0
0,8570,0
0,7642,0
0,7435,0
0,7363,1
0,7042,1
0,7026,0
0,7013,0
0,7007,0
0,6950,0
0,6949,0
0,6941,0
0,6882,0
0,6808,0
0,6799,0
0,6769,0
0,6685,0
0,6618,0
0,6609,0
0,6567,0
0,6563,0
0,6555,1
0,6520,0
0,6507,1
0,6427,0
0,6394,1
0,6298,0
0,6251,0
0,6154,1
0,6075,0
0,6051,1
0,6047,0
0,6040,0
0,6027,0
0,5991,0
0,5972,0
0,5966,0
0,5962,0
0,5892,1
0,5862,0
0,5858,0
0,5838,0
0,5823,0
0,5783,0
0,5773,0
0,5747,0
0,5744,0
0,5701,0
0,5694,0
0,5662,0
0,5633,0
0,5608,0
0,5607,0
0,5603,0
0,5564,0
0,5562,0
0,5554,1
0,5553,0
0,5515,1
0,5506,0
0,5504,0
0,5503,0
0,5499,0
0,5494,0
0,5483,1
0,5464,0
0,5462,1
0,5455,0
0,5450,0
0,5445,0
0,5416,0
0,5400,0
0,5394,1
0,5384,0
0,5381,0
0,5366,0
0,5362,0
0,5358,0
0,5353,0
0,5315,0
0,5303,1
0,5296,0
0,5290,0
0,5288,0
0,5286,0
0,5285,0
0,5265,0
0,5236,0
0,5236,1
0,5230,0